,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
8406, Yaris,5,1.3,7999,1,0,0,0,1
8407, Yaris,3,1.5,9299,0,1,0,0,1
8408, Yaris,5,1.0,6350,0,1,0,0,1
8409, Yaris,1,1.5,11499,0,1,0,0,1
8410, Yaris,1,1.5,11984,1,0,0,0,1
8413, Yaris,1,1.5,11850,0,1,0,0,1
8414, Yaris,4,1.3,9700,0,1,0,0,1
8415, Yaris,1,1.5,11795,0,1,0,0,1
8416, Yaris,1,1.5,11799,0,1,0,0,1
8417, Yaris,4,1.0,7710,0,1,0,0,1
8418, Yaris,6,1.3,5795,0,1,0,0,1
8419, Yaris,3,1.5,11490,1,0,0,0,1
8421, Yaris,3,1.3,7350,0,1,0,0,1
8422, Yaris,1,1.5,11949,0,1,0,0,1
8423, Yaris,3,1.5,10890,0,1,0,0,1
8425, Yaris,2,1.5,10990,0,1,0,0,1
8426, Yaris,1,1.5,12487,0,1,0,0,1
8427, Yaris,1,1.5,12990,0,1,0,0,1
8428, Yaris,2,1.5,12495,0,1,0,0,1
8431, Yaris,1,1.5,11790,0,1,0,0,1
8432, Yaris,5,1.3,7750,0,1,0,0,1
8433, Yaris,7,1.3,5500,0,1,0,0,1
8434, Yaris,3,1.3,9657,0,1,0,0,1
8435, Yaris,5,1.3,8200,0,1,0,0,1
8438, Yaris,5,1.3,8650,1,0,0,0,1
8439, Yaris,5,1.3,7290,0,1,0,0,1
8441, Yaris,2,1.0,10495,0,1,0,0,1
8442, Yaris,1,1.5,12905,0,1,0,0,1
8443, Yaris,6,1.0,7058,0,1,0,0,1
8447, Yaris,1,1.5,12000,0,1,0,0,1
8448, Yaris,1,1.5,12390,0,1,0,0,1
8449, Yaris,1,1.5,11780,0,1,0,0,1
8450, Yaris,1,1.5,11790,0,1,0,0,1
8451, Yaris,1,1.5,11990,0,1,0,0,1
8452, Yaris,1,1.5,11495,0,1,0,0,1
8453, Yaris,6,1.3,7750,0,1,0,0,1
8456, Yaris,3,1.5,10495,0,1,0,0,1
8457, Yaris,7,1.3,6295,0,1,0,0,1
8459, Yaris,2,1.5,10995,0,1,0,0,1
8460, Yaris,5,1.3,9131,1,0,0,0,1
8462, Yaris,2,1.5,13495,1,0,0,0,1
8465, Yaris,6,1.3,6895,0,1,0,0,1
8466, Yaris,3,1.3,9420,0,1,0,0,1
8467, Yaris,5,1.3,7495,0,1,0,0,1
8470, Yaris,4,1.3,8295,0,1,0,0,1
8472, Yaris,4,1.3,9490,0,1,0,0,1
8474, Yaris,4,1.0,8895,0,1,0,0,1
8475, Yaris,2,1.5,11885,0,1,0,0,1
8477, Yaris,2,1.5,13895,1,0,0,0,1
8478, Yaris,3,1.5,9995,0,1,0,0,1
8479, Yaris,3,1.3,9990,1,0,0,0,1
8480, Yaris,2,1.5,11395,0,1,0,0,1
8481, Yaris,1,1.5,12795,1,0,0,0,1
8482, Yaris,6,1.3,6491,0,1,0,0,1
8483, Yaris,2,1.5,10895,0,1,0,0,1
8486, Yaris,1,1.5,14995,1,0,0,0,1
8487, Yaris,4,1.3,13690,0,1,0,0,1
8488, Yaris,6,1.3,8795,0,0,1,0,1
8489, Yaris,6,1.4,6295,0,1,0,1,0
8490, Yaris,2,1.5,14695,1,0,0,0,1
8492, Yaris,1,1.0,11491,0,1,0,0,1
8493, Yaris,2,1.5,10991,0,1,0,0,1
8494, Yaris,1,1.5,11980,0,1,0,0,1
8495, Yaris,1,1.5,13790,0,1,0,0,1
8496, Yaris,0,1.0,12495,0,1,0,0,1
8497, Yaris,1,1.5,15491,1,0,0,0,1
8498, Yaris,1,1.5,11991,0,1,0,0,1
8499, Yaris,1,1.5,13491,0,1,0,0,1
8500, Yaris,3,1.3,8900,0,1,0,0,1
8503, Yaris,1,1.5,12990,1,0,0,0,1
8504, Yaris,5,1.3,9595,1,0,0,0,1
8505, Yaris,1,1.5,12490,0,1,0,0,1
8506, Yaris,1,1.5,12490,0,1,0,0,1
8507, Yaris,4,1.3,8295,0,1,0,0,1
8508, Yaris,3,1.3,9995,0,1,0,0,1
8509, Yaris,3,1.5,9930,0,1,0,0,1
8512, Yaris,2,1.5,12201,1,0,0,0,1
8513, Yaris,6,1.3,5401,0,1,0,0,1
8516, Yaris,2,1.0,9995,0,1,0,0,1
8517, Yaris,5,1.3,8495,0,1,0,0,1
8518, Yaris,4,1.3,8750,0,1,0,0,1
8521, Yaris,6,1.3,7042,0,1,0,0,1
8522, Yaris,1,1.5,12386,0,1,0,0,1
8524, Yaris,7,1.3,5500,0,1,0,0,1
8526, Yaris,1,1.5,11210,0,1,0,0,1
8527, Yaris,1,1.5,12426,0,1,0,0,1
8528, Yaris,3,1.3,10492,0,1,0,0,1
8529, Yaris,2,1.5,10501,0,1,0,0,1
8532, Yaris,1,1.5,11811,0,1,0,0,1
8534, Yaris,3,1.3,8799,0,1,0,0,1
8535, Yaris,5,1.3,7999,1,0,0,0,1
8536, Yaris,3,1.3,9801,0,1,0,0,1
8537, Yaris,3,1.5,9664,0,1,0,0,1
8538, Yaris,3,1.3,8695,0,1,0,0,1
8539, Yaris,2,1.5,12750,0,1,0,0,1
8540, Yaris,3,1.3,9795,0,1,0,0,1
8541, Yaris,1,1.5,11995,0,1,0,0,1
8542, Yaris,1,1.5,11950,0,1,0,0,1
8543, Yaris,2,1.5,11395,0,1,0,0,1
8544, Yaris,1,1.5,11850,0,1,0,0,1
8545, Yaris,3,1.5,10195,0,1,0,0,1
8547, Yaris,1,1.5,11220,0,1,0,0,1
8548, Yaris,1,1.5,11816,0,1,0,0,1
8549, Yaris,1,1.5,11836,0,1,0,0,1
8550, Yaris,1,1.5,13130,0,1,0,0,1
8551, Yaris,1,1.5,10710,0,1,0,0,1
8552, Yaris,1,1.5,12170,0,1,0,0,1
8553, Yaris,3,1.3,9712,0,1,0,0,1
8555, Yaris,4,1.3,9495,1,0,0,0,1
8556, Yaris,4,1.3,9711,0,1,0,0,1
8557, Yaris,2,1.5,12631,1,0,0,0,1
8558, Yaris,3,1.5,9195,0,1,0,0,1
8560, Yaris,3,1.0,8801,0,1,0,0,1
8561, Yaris,2,1.5,9509,0,1,0,0,1
8562, Yaris,5,1.3,8764,0,1,0,0,1
8563, Yaris,1,1.5,14810,0,1,0,0,1
8564, Yaris,1,1.5,11810,0,1,0,0,1
8565, Yaris,1,1.5,11200,0,1,0,0,1
8566, Yaris,3,1.3,10122,0,1,0,0,1
8567, Yaris,1,1.5,14260,1,0,0,0,1
8568, Yaris,4,1.3,10344,1,0,0,0,1
8569, Yaris,3,1.3,9242,0,1,0,0,1
8570, Yaris,3,1.3,11881,1,0,0,0,1
8571, Yaris,1,1.5,13495,1,0,0,0,1
8572, Yaris,1,1.5,11440,0,1,0,0,1
8575, Yaris,1,1.5,12054,0,1,0,0,1
8578, Yaris,1,1.5,13999,0,1,0,0,1
8580, Yaris,1,1.5,13790,1,0,0,0,1
8582, Yaris,3,1.5,9995,0,1,0,0,1
8583, Yaris,1,1.5,12195,0,1,0,0,1
8586, Yaris,3,1.5,10250,0,1,0,0,1
8588, Yaris,2,1.5,10995,0,1,0,0,1
8589, Yaris,2,1.5,10495,0,1,0,0,1
8590, Yaris,4,1.3,8495,0,1,0,0,1
8592, Yaris,1,1.5,11250,0,1,0,0,1
8594, Yaris,4,1.3,9495,1,0,0,0,1
8596, Yaris,2,1.5,11000,0,1,0,0,1
8597, Yaris,1,1.5,13995,1,0,0,0,1
8598, Yaris,3,1.5,8695,0,1,0,0,1
8600, Yaris,1,1.5,12170,0,1,0,0,1
8601, Yaris,1,1.5,12170,0,1,0,0,1
8602, Yaris,3,1.0,7672,0,1,0,0,1
8604, Yaris,1,1.5,12401,0,1,0,0,1
8605, Yaris,1,1.5,12601,0,1,0,0,1
8606, Yaris,3,1.3,11000,1,0,0,0,1
8608, Yaris,3,1.3,9782,0,1,0,0,1
8611, Yaris,3,1.3,8491,0,1,0,0,1
8612, Yaris,2,1.5,9991,0,1,0,0,1
8614, Yaris,1,1.5,11857,0,1,0,0,1
8615, Yaris,2,1.5,11001,0,1,0,0,1
8616, Yaris,1,1.5,11732,0,1,0,0,1
8617, Yaris,1,1.5,12621,0,1,0,0,1
8618, Yaris,1,1.5,11902,0,1,0,0,1
8619, Yaris,7,1.3,6295,0,1,0,0,1
8621, Yaris,2,1.5,11500,1,0,0,0,1
8622, Yaris,7,1.3,6452,0,1,0,0,1
8623, Yaris,3,1.5,11451,1,0,0,0,1
8624, Yaris,1,1.5,12438,0,1,0,0,1
8625, Yaris,1,1.5,12619,0,1,0,0,1
8627, Yaris,5,1.3,6995,0,1,0,0,1
8629, Yaris,5,1.3,7379,0,1,0,0,1
8630, Yaris,6,1.0,5995,0,1,0,0,1
8631, Yaris,3,1.5,9995,0,1,0,0,1
8632, Yaris,7,1.0,5295,0,1,0,0,1
8633, Yaris,3,1.3,10931,1,0,0,0,1
8635, Yaris,3,1.5,9991,0,1,0,0,1
8636, Yaris,1,1.5,11340,0,1,0,0,1
8637, Yaris,1,1.5,10870,0,1,0,0,1
8638, Yaris,1,1.5,10870,0,1,0,0,1
8639, Yaris,3,1.5,9550,0,1,0,0,1
8641, Yaris,3,1.5,8940,0,1,0,0,1
8642, Yaris,5,1.3,7695,0,1,0,0,1
8643, Yaris,1,1.5,11380,0,1,0,0,1
8644, Yaris,2,1.5,11998,0,1,0,0,1
8645, Yaris,1,1.5,12622,0,1,0,0,1
8647, Yaris,3,1.5,10998,1,0,0,0,1
8648, Yaris,1,1.5,10990,0,1,0,0,1
8651, Yaris,3,1.3,8995,0,1,0,0,1
8652, Yaris,4,1.4,6895,0,1,0,1,0
8653, Yaris,3,1.3,9995,1,0,0,0,1
8654, Yaris,6,1.3,6995,0,1,0,0,1
8655, Yaris,3,1.3,9599,0,1,0,0,1
8658, Yaris,2,1.5,10766,0,1,0,0,1
8659, Yaris,2,1.5,10000,0,1,0,0,1
8660, Yaris,6,1.3,7000,0,1,0,0,1
8661, Yaris,3,1.3,10500,0,1,0,0,1
8663, Yaris,7,1.3,6300,0,1,0,0,1
8664, Yaris,3,1.5,10150,1,0,0,0,1
8665, Yaris,4,1.3,10000,0,1,0,0,1
8666, Yaris,4,1.3,8853,0,1,0,0,1
8667, Yaris,6,1.3,5990,0,1,0,0,1
8668, Yaris,4,1.4,5490,0,1,0,1,0
8669, Yaris,4,1.0,6490,0,1,0,0,1
8670, Yaris,4,1.0,6490,0,1,0,0,1
8671, Yaris,8,1.3,5481,0,1,0,0,1
8673, Yaris,4,1.3,8700,0,1,0,0,1
8674, Yaris,4,1.3,7500,0,1,0,0,1
8675, Yaris,2,1.5,9599,0,1,0,0,1
8676, Yaris,6,1.3,6299,0,1,0,0,1
8677, Yaris,5,1.3,7762,0,1,0,0,1
8679, Yaris,9,1.3,4159,0,1,0,0,1
8680, Yaris,6,1.4,5999,0,1,0,1,0
8681, Yaris,5,1.3,6490,0,1,0,0,1
8682, Yaris,10,1.3,2495,0,1,0,0,1
8683, Yaris,2,1.5,9795,0,1,0,0,1
8685, Yaris,9,1.3,5799,1,0,0,0,1
8686, Yaris,3,1.0,8099,0,1,0,0,1
8687, Yaris,3,1.3,8997,0,1,0,0,1
8688, Yaris,9,1.3,2395,0,1,0,0,1
8689, Yaris,3,1.4,6495,0,1,0,1,0
8690, Yaris,1,1.5,14490,0,1,0,0,1
8691, Yaris,4,1.3,7839,0,1,0,0,1
8692, Yaris,8,1.0,4494,0,1,0,0,1
8694, Yaris,2,1.5,11995,1,0,0,0,1
8696, Yaris,8,1.3,6995,1,0,0,0,1
8701, Yaris,1,1.5,11795,0,1,0,0,1
8703, Yaris,8,1.4,5495,0,1,0,1,0
8704, Yaris,5,1.0,6200,0,1,0,0,1
8706, Yaris,3,1.5,9695,0,1,0,0,1
8709, Yaris,1,1.5,16995,1,0,0,0,1
8710, Yaris,3,1.5,9995,0,1,0,0,1
8711, Yaris,2,1.5,10995,0,1,0,0,1
8712, Yaris,1,1.5,14995,0,1,0,0,1
8713, Yaris,2,1.5,12995,1,0,0,0,1
8716, Yaris,3,1.5,9290,0,1,0,0,1
8717, Yaris,3,1.0,6795,0,1,0,0,1
8724, Yaris,5,1.3,7495,0,1,0,0,1
8725, Yaris,2,1.5,11995,0,1,0,0,1
8729, Yaris,8,1.3,6995,0,1,0,0,1
8730, Yaris,4,1.3,10490,1,0,0,0,1
8731, Yaris,3,1.3,10790,0,1,0,0,1
8733, Yaris,4,1.3,9700,0,1,0,0,1
8734, Yaris,3,1.5,9500,0,1,0,0,1
8735, Yaris,3,1.0,8700,0,1,0,0,1
8738, Yaris,8,1.3,4495,0,1,0,0,1
8739, Yaris,5,1.3,8500,0,1,0,0,1
8741, Yaris,4,1.3,9500,0,1,0,0,1
8742, Yaris,1,1.5,13995,0,1,0,0,1
8743, Yaris,3,1.3,8200,0,1,0,0,1
8744, Yaris,5,1.3,7400,0,1,0,0,1
8745, Yaris,3,1.3,10995,0,1,0,0,1
8747, Yaris,2,1.5,8985,0,1,0,0,1
8748, Yaris,3,1.3,9985,0,1,0,0,1
8749, Yaris,2,1.0,9300,0,1,0,0,1
8750, Yaris,3,1.5,9000,0,1,0,0,1
8751, Yaris,4,1.3,8890,0,1,0,0,1
8752, Yaris,4,1.3,8985,0,1,0,0,1
8753, Yaris,3,1.5,9725,1,0,0,0,1
8754, Yaris,2,1.5,8800,0,1,0,0,1
8755, Yaris,7,1.3,6800,0,1,0,0,1
8756, Yaris,5,1.0,7000,0,1,0,0,1
8757, Yaris,2,1.5,9985,0,1,0,0,1
8758, Yaris,2,1.5,10485,0,1,0,0,1
8760, Yaris,2,1.5,10985,0,1,0,0,1
8761, Yaris,1,1.5,14461,0,1,0,0,1
8762, Yaris,1,1.0,9485,0,1,0,0,1
8763, Yaris,0,1.5,15885,0,1,0,0,1
8764, Yaris,0,1.5,15885,0,1,0,0,1
8765, Yaris,5,1.3,8300,0,1,0,0,1
8766, Yaris,0,1.5,15885,0,1,0,0,1
8767, Yaris,0,1.5,15885,0,1,0,0,1
8768, Yaris,3,1.5,10485,0,1,0,0,1
8769, Yaris,3,1.3,9985,0,1,0,0,1
8770, Yaris,3,1.5,10985,0,1,0,0,1
8771, Yaris,3,1.3,9800,0,1,0,0,1
8772, Yaris,2,1.5,11800,0,1,0,0,1
8773, Yaris,3,1.3,8975,0,1,0,0,1
8774, Yaris,3,1.5,10275,0,1,0,0,1
8775, Yaris,1,1.5,13975,0,0,1,0,1
8778, Yaris,3,1.5,9475,0,1,0,0,1
8779, Yaris,1,1.5,13961,0,1,0,0,1
8780, Yaris,7,1.3,6675,0,1,0,0,1
8782, Yaris,4,1.3,7975,0,1,0,0,1
8785, Yaris,4,1.3,7975,0,1,0,0,1
8788, Yaris,3,1.3,9975,0,1,0,0,1
8789, Yaris,1,1.5,11675,0,1,0,0,1
8791, Yaris,2,1.5,11475,1,0,0,0,1
8792, Yaris,3,1.5,8975,0,1,0,0,1
8794, Yaris,6,1.3,5975,0,1,0,0,1
8796, Yaris,6,1.3,5499,0,1,0,0,1
8797, Yaris,1,1.5,11975,0,1,0,0,1
8799, Yaris,4,1.3,9475,0,1,0,0,1
8800, Yaris,4,1.3,7804,0,1,0,0,1
8801, Yaris,4,1.0,6080,0,1,0,0,1
8802, Yaris,3,1.5,11578,0,1,0,0,1
8803, Yaris,5,1.3,7999,1,0,0,0,1
8804, Yaris,1,1.5,11485,0,1,0,0,1
8805, Yaris,7,1.3,2470,0,1,0,0,1
8806, Yaris,8,1.3,4690,1,0,0,0,1
8807, Yaris,1,1.5,12499,0,1,0,0,1
8809, Yaris,3,1.3,12999,1,0,0,0,1
8810, Yaris,4,1.3,8699,0,1,0,0,1
8812, Yaris,1,1.5,10999,0,1,0,0,1
8813, Yaris,0,1.5,13999,0,1,0,0,1
8814, Yaris,5,1.4,6989,0,1,0,1,0
8816, Yaris,3,1.3,9799,0,1,0,0,1
8818, Yaris,1,1.5,13999,0,1,0,0,1
8819, Yaris,1,1.5,13999,0,1,0,0,1
8820, Yaris,1,1.5,12950,0,1,0,0,1
8821, Yaris,3,1.3,8950,0,1,0,0,1
8822, Yaris,2,1.8,25995,0,1,0,0,1
8824, Yaris,1,1.5,13491,0,1,0,0,1
8826, Yaris,2,1.5,10950,0,1,0,0,1
8827, Yaris,1,1.5,13491,0,1,0,0,1
8828, Yaris,1,1.5,12491,0,1,0,0,1
8830, Yaris,1,1.5,10491,0,1,0,0,1
8832, Yaris,2,1.5,10993,0,1,0,0,1
8833, Yaris,8,1.3,7995,1,0,0,0,1
8834, Yaris,2,1.5,11295,0,1,0,0,1
8835, Yaris,2,1.5,11495,0,1,0,0,1
8836, Yaris,2,1.5,11995,0,1,0,0,1
8837, Yaris,2,1.5,11295,0,1,0,0,1
8839, Yaris,3,1.5,10995,0,1,0,0,1
8840, Yaris,1,1.5,12495,0,1,0,0,1
8842, Yaris,2,1.5,10995,0,1,0,0,1
8844, Yaris,3,1.5,9995,0,1,0,0,1
8845, Yaris,9,1.3,3500,0,1,0,0,1
8846, Yaris,2,1.5,10995,0,1,0,0,1
8849, Yaris,2,1.5,9950,0,1,0,0,1
8850, Yaris,3,1.5,9950,0,1,0,0,1
8851, Yaris,1,1.5,12491,0,1,0,0,1
8852, Yaris,3,1.3,10491,0,1,0,0,1
8853, Yaris,6,1.3,6775,0,1,0,0,1
8854, Yaris,5,1.3,7499,0,1,0,0,1
8855, Yaris,5,1.3,6999,0,1,0,0,1
8856, Yaris,2,1.5,11990,0,1,0,0,1
8857, Yaris,2,1.5,10490,0,1,0,0,1
8859, Yaris,1,1.5,11990,0,1,0,0,1
8860, Yaris,2,1.5,11990,0,1,0,0,1
8861, Yaris,2,1.5,11795,0,1,0,0,1
8863, Yaris,2,1.5,10990,0,1,0,0,1
8864, Yaris,1,1.5,11491,0,1,0,0,1
8865, Yaris,5,1.3,7990,0,1,0,0,1
8867, Yaris,2,1.5,9495,0,1,0,0,1
8873, Yaris,2,1.5,10493,0,1,0,0,1
8874, Yaris,3,1.5,9993,0,1,0,0,1
8875, Yaris,1,1.5,15995,0,1,0,0,1
8877, Yaris,1,1.5,11990,0,1,0,0,1
8878, Yaris,5,1.3,8799,1,0,0,0,1
8879, Yaris,7,1.3,5299,0,1,0,0,1
8880, Yaris,4,1.3,7900,0,1,0,0,1
8881, Yaris,3,1.5,10099,0,1,0,0,1
8882, Yaris,8,1.3,4000,0,1,0,0,1
8884, Yaris,3,1.3,9695,0,1,0,0,1
8885, Yaris,4,1.3,9299,0,1,0,0,1
8888, Yaris,3,1.3,8495,0,1,0,0,1
8889, Yaris,5,1.3,7195,0,1,0,0,1
8890, Yaris,1,1.5,13969,1,0,0,0,1
8894, Yaris,1,1.5,15790,0,1,0,0,1
8895, Yaris,1,1.5,11490,0,1,0,0,1
8896, Yaris,10,1.0,3695,0,1,0,0,1
8897, Yaris,4,1.3,8950,0,1,0,0,1
8898, Yaris,4,1.3,10250,1,0,0,0,1
8899, Yaris,4,1.3,9490,0,1,0,0,1
8900, Yaris,10,1.0,4990,0,1,0,0,1
8902, Yaris,7,1.3,6490,0,1,0,0,1
8906, Yaris,9,1.3,3490,0,1,0,0,1
8907, Yaris,6,1.0,6595,0,1,0,0,1
8908, Yaris,2,1.5,11095,0,1,0,0,1
8909, Yaris,4,1.3,7995,0,1,0,0,1
8911, Yaris,10,1.3,2978,0,1,0,0,1
8912, Yaris,4,1.3,10295,1,0,0,0,1
8913, Yaris,2,1.5,9595,0,1,0,0,1
8916, Yaris,3,1.3,9795,0,1,0,0,1
8917, Yaris,6,1.0,6500,0,1,0,0,1
8918, Yaris,1,1.5,12995,0,1,0,0,1
8920, Yaris,7,1.3,5990,0,1,0,0,1
8921, Yaris,3,1.5,12000,1,0,0,0,1
8922, Yaris,3,1.5,11000,1,0,0,0,1
8923, Yaris,3,1.5,9400,0,1,0,0,1
8925, Yaris,1,1.5,13400,0,1,0,0,1
8926, Yaris,4,1.3,9700,0,1,0,0,1
8927, Yaris,3,1.5,10500,0,1,0,0,1
8929, Yaris,3,1.3,11700,1,0,0,0,1
8930, Yaris,2,1.5,12295,0,1,0,0,1
8931, Yaris,3,1.3,9795,0,1,0,0,1
8932, Yaris,3,1.5,9795,0,1,0,0,1
8933, Yaris,3,1.3,8980,0,1,0,0,1
8934, Yaris,5,1.0,6490,0,1,0,0,1
8935, Yaris,4,1.3,7813,0,1,0,0,1
8936, Yaris,1,1.5,13400,0,1,0,0,1
8946, Yaris,5,1.0,6890,0,1,0,0,1
8948, Yaris,3,1.3,9150,0,1,0,0,1
8949, Yaris,1,1.5,15490,0,1,0,0,1
8955, Yaris,5,1.3,10690,1,0,0,0,1
8960, Yaris,3,1.5,10990,1,0,0,0,1
8961, Yaris,6,1.3,8990,1,0,0,0,1
8964, Yaris,3,1.5,10495,0,1,0,0,1
8965, Yaris,3,1.5,11495,1,0,0,0,1
8966, Yaris,3,1.3,11495,1,0,0,0,1
8967, Yaris,4,1.3,8991,0,1,0,0,1
8968, Yaris,3,1.5,11250,1,0,0,0,1
8969, Yaris,1,1.5,13990,1,0,0,0,1
8970, Yaris,5,1.3,7990,0,1,0,0,1
8971, Yaris,3,1.3,10990,1,0,0,0,1
8972, Yaris,4,1.3,10690,1,0,0,0,1
8973, Yaris,0,1.5,16691,0,1,0,0,1
8975, Yaris,3,1.0,9250,0,1,0,0,1
8976, Yaris,2,1.5,11991,1,0,0,0,1
8978, Yaris,3,1.3,10991,1,0,0,0,1
8979, Yaris,3,1.3,10790,1,0,0,0,1
8984, Yaris,7,1.3,6990,0,1,0,0,1
8988, Yaris,6,1.3,8440,1,0,0,0,1
8989, Yaris,4,1.3,7980,0,1,0,0,1
8991, Yaris,5,1.3,6990,0,1,0,0,1
8993, Yaris,6,1.3,5690,0,1,0,0,1
8994, Yaris,3,1.5,9250,0,1,0,0,1
8997, Yaris,2,1.5,11295,0,1,0,0,1
8998, Yaris,1,1.5,16795,0,1,0,0,1
8999, Yaris,1,1.5,12000,0,1,0,0,1
9000, Yaris,1,1.5,11500,0,1,0,0,1
9001, Yaris,1,1.5,11500,0,1,0,0,1
9002, Yaris,1,1.5,12000,0,1,0,0,1
9003, Yaris,2,1.5,11000,0,1,0,0,1
9004, Yaris,1,1.5,12000,0,1,0,0,1
9005, Yaris,3,1.5,9250,0,1,0,0,1
9006, Yaris,4,1.3,7800,0,1,0,0,1
9008, Yaris,1,1.5,11795,0,1,0,0,1
9009, Yaris,1,1.5,12395,0,1,0,0,1
9011, Yaris,3,1.3,10900,1,0,0,0,1
9012, Yaris,4,1.5,11000,1,0,0,0,1
9014, Yaris,6,1.3,5900,0,1,0,0,1
9017, Yaris,2,1.5,9900,0,1,0,0,1
9019, Yaris,4,1.3,8000,0,1,0,0,1
9020, Yaris,3,1.3,8300,0,1,0,0,1
9023, Yaris,3,1.5,10600,0,1,0,0,1
9026, Yaris,3,1.3,9400,0,1,0,0,1
9027, Yaris,1,1.5,14137,1,0,0,0,1
9029, Yaris,2,1.5,9800,0,1,0,0,1
9034, Yaris,2,1.5,11220,0,1,0,0,1
9035, Yaris,6,1.3,6390,0,1,0,0,1
9036, Yaris,1,1.5,12732,1,0,0,0,1
9037, Yaris,2,1.5,11398,0,1,0,0,1
9038, Yaris,3,1.5,10600,0,1,0,0,1
9043, Yaris,1,1.5,12995,0,1,0,0,1
9044, Yaris,2,1.5,11500,0,1,0,0,1
9045, Yaris,2,1.0,10495,0,1,0,0,1
9048, Yaris,3,1.5,10998,1,0,0,0,1
9049, Yaris,3,1.5,11475,0,1,0,0,1
9052, Yaris,3,1.5,10990,1,0,0,0,1
9055, Yaris,8,1.3,6495,1,0,0,0,1
9056, Yaris,5,1.3,9495,1,0,0,0,1
9057, Yaris,3,1.5,12250,1,0,0,0,1
9061, Yaris,1,1.5,13995,1,0,0,0,1
9062, Yaris,3,1.3,9694,0,1,0,0,1
9063, Yaris,4,1.3,8400,0,1,0,0,1
9064, Yaris,2,1.5,10000,0,1,0,0,1
9065, Yaris,3,1.5,9999,0,1,0,0,1
9067, Yaris,3,1.5,9895,0,1,0,0,1
9068, Yaris,5,1.3,9995,1,0,0,0,1
9070, Yaris,3,1.5,10395,0,1,0,0,1
9071, Yaris,1,1.5,13594,0,1,0,0,1
9072, Yaris,4,1.3,8895,0,1,0,0,1
9074, Yaris,3,1.5,10995,1,0,0,0,1
9075, Yaris,1,1.5,13795,1,0,0,0,1
9076, Yaris,3,1.3,9495,0,1,0,0,1
9078, Yaris,6,1.3,7250,0,1,0,0,1
9080, Yaris,3,1.5,11995,1,0,0,0,1
9081, Yaris,3,1.3,9695,0,1,0,0,1
9082, Yaris,7,1.3,7249,0,1,0,0,1
9083, Yaris,3,1.5,10495,0,1,0,0,1
9085, Yaris,3,1.5,12499,1,0,0,0,1
9087, Yaris,1,1.5,15995,1,0,0,0,1
9089, Yaris,9,1.3,5990,0,1,0,0,1
9090, Yaris,6,1.3,6999,0,1,0,0,1
9091, Yaris,7,1.3,8299,1,0,0,0,1
9093, Yaris,4,1.0,7499,0,1,0,0,1
9094, Yaris,2,1.0,8999,0,1,0,0,1
9095, Yaris,4,1.3,9499,0,1,0,0,1
9096, Yaris,2,1.5,9740,0,1,0,0,1
9102, Yaris,3,1.3,8995,0,1,0,0,1
9104, Yaris,7,1.3,8695,1,0,0,0,1
9105, Yaris,6,1.0,7200,0,1,0,0,1
9106, Yaris,1,1.5,14245,0,1,0,0,1
9111, Auris,7,1.6,5995,0,1,0,0,1
9114, Auris,6,1.3,7498,0,1,0,0,1
9116, Auris,4,1.2,9985,0,1,0,0,1
9117, Auris,4,1.2,9985,0,1,0,0,1
9118, Auris,5,1.2,9225,0,1,0,0,1
9119, Auris,3,1.2,12495,0,1,0,0,1
9121, Auris,4,1.2,10995,0,1,0,0,1
9122, Auris,4,1.6,8995,0,1,0,1,0
9124, Auris,3,1.2,13495,0,1,0,0,1
9128, Auris,3,1.6,10698,0,1,0,1,0
9131, Auris,5,1.6,7995,0,1,0,1,0
9135, Auris,4,1.2,10795,0,1,0,0,1
9136, Auris,4,1.2,10795,0,1,0,0,1
9137, Auris,4,1.6,9995,0,1,0,1,0
9139, Auris,4,1.6,9695,0,1,0,1,0
9140, Auris,3,1.2,9998,0,1,0,0,1
9143, Auris,4,1.6,8498,0,1,0,1,0
9144, Auris,3,1.2,11290,1,0,0,0,1
9145, Auris,6,1.4,6498,0,1,0,1,0
9146, Auris,4,1.2,9998,0,1,0,0,1
9147, Auris,6,1.6,9498,0,1,0,0,1
9148, Auris,5,1.3,8998,0,1,0,0,1
9150, Auris,4,1.6,10495,0,1,0,1,0
9152, Auris,4,1.2,8498,0,1,0,0,1
9153, Auris,3,1.3,9298,0,1,0,0,1
9156, Auris,3,1.6,9698,0,1,0,1,0
9163, Auris,3,1.2,9998,0,1,0,0,1
9166, Auris,3,1.2,10998,0,1,0,0,1
9167, Auris,6,1.6,7998,0,1,0,0,1
9168, Auris,4,1.6,7995,0,1,0,1,0
9170, Auris,3,1.2,11995,1,0,0,0,1
9171, Auris,4,1.2,10495,0,1,0,0,1
9176, Auris,4,1.4,8995,0,1,0,1,0
9181, Auris,3,1.2,10498,0,1,0,0,1
9183, Auris,3,1.2,11498,0,1,0,0,1
9185, Auris,4,1.2,9995,0,1,0,0,1
9188, Auris,6,1.3,7527,0,1,0,0,1
9189, Auris,3,1.2,11998,1,0,0,0,1
9192, Auris,4,1.6,7998,0,1,0,1,0
9193, Auris,3,1.2,8495,0,1,0,0,1
9194, Auris,4,1.6,7998,0,1,0,1,0
9196, Auris,4,1.6,8498,0,1,0,1,0
9201, Auris,7,1.6,5995,0,1,0,0,1
9206, Auris,3,1.2,8998,0,1,0,0,1
