,model,age,engineSize,price,Automatic,Manual,Semi-Auto,Diesel,Petrol
120, Octavia,1,1.0,12690,0,1,0,0,1
121, Fabia,1,1.0,9590,0,1,0,0,1
122, Fabia,3,1.0,11490,1,0,0,0,1
123, Octavia,6,1.6,8490,1,0,0,1,0
124, Fabia,1,1.0,11490,0,1,0,0,1
125, Octavia,1,1.6,15790,1,0,0,1,0
126, Fabia,1,1.0,11490,0,1,0,0,1
127, Octavia,1,1.6,16490,1,0,0,1,0
128, Fabia,5,1.0,6000,0,1,0,0,1
129, Fabia,5,1.2,10000,1,0,0,0,1
130, Octavia,8,2.0,7995,0,1,0,1,0
131, Octavia,5,1.6,8399,0,1,0,1,0
132, Octavia,1,2.0,20500,1,0,0,0,1
133, Octavia,1,1.5,18000,0,1,0,0,1
134, Fabia,1,1.0,14950,0,1,0,0,1
135, Octavia,1,2.0,19150,1,0,0,1,0
136, Kodiaq,1,2.0,29750,1,0,0,0,1
137, Octavia,1,1.0,14650,1,0,0,0,1
138, Octavia,1,1.0,14650,1,0,0,0,1
139, Octavia,1,2.0,18998,0,0,1,1,0
140, Superb,3,1.6,12295,0,0,1,1,0
141, Yeti Outdoor,6,2.0,10995,0,1,0,1,0
142, Karoq,1,2.0,20498,0,1,0,1,0
143, Fabia,3,1.2,8995,0,1,0,0,1
144, Octavia,5,1.6,8698,0,1,0,1,0
145, Yeti Outdoor,4,2.0,9998,0,1,0,1,0
146, Yeti Outdoor,4,2.0,9698,0,1,0,1,0
147, Fabia,4,1.2,7298,0,1,0,0,1
148, Superb,1,2.0,17798,0,1,0,1,0
149, Yeti Outdoor,4,1.2,12798,0,1,0,0,1
150, Fabia,3,1.0,11650,0,0,1,0,1
151, Fabia,2,1.0,9298,0,1,0,0,1
152, Scala,1,1.0,15998,0,0,1,0,1
153, Fabia,3,1.0,11998,0,0,1,0,1
154, Octavia,2,1.6,11998,0,1,0,1,0
155, Yeti Outdoor,3,1.2,13998,0,0,1,0,1
156, Fabia,3,1.0,7498,0,1,0,0,1
157, Superb,4,2.0,10498,0,1,0,1,0
158, Octavia,6,2.0,11995,0,1,0,0,1
159, Citigo,6,1.0,4295,0,1,0,0,1
160, Fabia,3,1.2,7995,0,1,0,0,1
161, Kodiaq,2,2.0,19995,0,1,0,1,0
162, Octavia,1,1.5,16995,0,0,1,0,1
163, Scala,1,1.0,14995,0,1,0,0,1
164, Scala,1,1.0,15490,0,1,0,0,1
165, Superb,3,1.4,17500,0,1,0,0,1
166, Fabia,1,1.0,14495,0,1,0,0,1
167, Citigo,3,1.0,6595,0,1,0,0,1
168, Yeti Outdoor,4,1.2,12498,0,0,1,0,1
169, Superb,3,1.4,16498,0,1,0,0,1
170, Fabia,4,1.2,11998,0,0,1,0,1
171, Yeti Outdoor,5,2.0,11698,0,0,1,1,0
172, Fabia,3,1.2,10998,0,0,1,0,1
173, Citigo,6,1.0,4998,0,1,0,0,1
174, Yeti Outdoor,3,2.0,11995,0,1,0,1,0
175, Yeti Outdoor,4,2.0,10995,0,1,0,1,0
176, Octavia,3,1.0,11395,0,1,0,0,1
177, Octavia,1,1.6,12698,0,1,0,1,0
178, Superb,1,1.5,18998,0,0,1,0,1
179, Octavia,1,1.6,14998,0,1,0,1,0
180, Octavia,3,2.0,15985,0,1,0,1,0
181, Superb,4,1.6,13985,0,1,0,1,0
182, Kodiaq,1,2.0,33250,1,0,0,1,0
183, Octavia,1,1.0,13495,0,1,0,0,1
184, Octavia,1,1.0,13495,0,1,0,0,1
185, Octavia,1,1.0,13495,0,1,0,0,1
186, Octavia,1,1.0,13495,0,1,0,0,1
187, Fabia,1,1.0,11900,0,1,0,0,1
188, Karoq,1,2.0,27000,0,1,0,1,0
189, Octavia,5,1.4,10000,0,1,0,0,1
190, Yeti Outdoor,3,1.2,13000,0,1,0,0,1
191, Fabia,4,1.2,8000,0,1,0,0,1
192, Fabia,3,1.2,11900,0,0,1,0,1
193, Fabia,1,1.0,14000,0,1,0,0,1
194, Kodiaq,2,1.4,22500,0,1,0,0,1
195, Kodiaq,3,1.4,17200,0,1,0,0,1
196, Fabia,4,1.2,8200,0,1,0,0,1
197, Octavia,2,1.5,14995,1,0,0,0,1
198, Octavia,2,1.0,12495,0,1,0,0,1
199, Octavia,1,1.0,13495,0,1,0,0,1
200, Citigo,2,1.0,7495,0,1,0,0,1
201, Fabia,1,1.0,9995,0,1,0,0,1
202, Scala,1,1.5,17485,0,0,1,0,1
203, Superb,1,2.0,24495,0,0,1,1,0
204, Yeti Outdoor,3,2.0,12789,0,1,0,1,0
205, Kodiaq,2,1.4,22498,1,0,0,0,1
206, Kodiaq,1,2.0,33998,1,0,0,1,0
207, Octavia,4,2.0,11890,0,0,1,1,0
208, Octavia,3,1.0,12695,0,1,0,0,1
209, Kodiaq,1,1.5,19995,0,1,0,0,1
210, Kodiaq,1,2.0,28490,0,1,0,1,0
211, Superb,1,2.0,26000,0,0,1,1,0
212, Scala,1,1.6,18995,0,1,0,1,0
213, Superb,1,2.0,28295,0,0,1,0,1
214, Octavia,1,2.0,20490,0,1,0,1,0
215, Octavia,1,2.0,22390,0,0,1,1,0
216, Kamiq,0,1.5,23295,0,0,1,0,1
217, Octavia,3,2.0,10995,0,1,0,1,0
218, Superb,2,2.0,15395,0,1,0,1,0
219, Fabia,5,1.2,7995,0,1,0,0,1
220, Citigo,4,1.0,6250,0,1,0,0,1
221, Octavia,2,1.0,11800,0,1,0,0,1
222, Superb,2,2.0,15995,0,1,0,1,0
223, Superb,3,2.0,16995,0,1,0,1,0
224, Octavia,2,1.6,12498,0,1,0,1,0
225, Karoq,2,1.6,17298,0,1,0,1,0
226, Karoq,2,1.5,18798,0,1,0,0,1
227, Octavia,4,1.4,9298,0,1,0,0,1
228, Superb,4,2.0,11998,0,0,1,1,0
229, Yeti Outdoor,3,2.0,12500,0,1,0,1,0
230, Citigo,4,1.0,5936,0,1,0,0,1
231, Octavia,3,2.0,12250,0,1,0,1,0
232, Octavia,2,2.0,14998,0,1,0,1,0
233, Citigo,3,1.0,7295,0,1,0,0,1
234, Superb,1,2.0,23495,0,0,1,1,0
235, Kodiaq,3,1.4,16995,0,1,0,0,1
236, Yeti Outdoor,3,1.2,12500,0,1,0,0,1
237, Superb,1,2.0,18998,0,0,1,1,0
238, Octavia,2,1.6,12698,0,1,0,1,0
239, Superb,3,2.0,17304,0,0,1,0,1
240, Rapid,2,1.0,10895,0,1,0,0,1
241, Fabia,3,1.4,8976,0,1,0,1,0
242, Yeti Outdoor,3,2.0,13618,0,0,1,1,0
243, Fabia,4,1.2,7790,0,1,0,0,1
244, Scala,0,1.5,19952,0,1,0,0,1
245, Fabia,4,1.4,7862,0,1,0,1,0
246, Fabia,4,1.0,5860,0,1,0,0,1
247, Citigo,4,1.0,6373,0,1,0,0,1
248, Fabia,4,1.2,9125,0,1,0,0,1
249, Yeti Outdoor,3,1.2,11713,0,1,0,0,1
250, Fabia,3,1.2,8567,0,1,0,0,1
251, Rapid,6,1.2,6682,0,1,0,0,1
252, Fabia,3,1.2,8372,0,1,0,0,1
253, Octavia,6,2.0,8752,0,1,0,1,0
254, Karoq,1,2.0,27123,1,0,0,1,0
255, Karoq,1,1.6,19944,1,0,0,1,0
256, Kodiaq,1,2.0,29136,1,0,0,1,0
257, Karoq,1,1.6,18513,0,1,0,1,0
258, Yeti Outdoor,6,2.0,10673,0,0,1,1,0
259, Kodiaq,3,1.4,17146,0,1,0,0,1
260, Fabia,1,1.0,11611,0,1,0,0,1
261, Scala,1,1.6,17925,1,0,0,1,0
262, Superb,3,2.0,15968,0,0,1,1,0
263, Octavia,1,1.5,18738,1,0,0,0,1
264, Scala,1,1.0,16713,0,1,0,0,1
265, Kamiq,1,1.0,17169,0,1,0,0,1
266, Kamiq,1,1.0,17479,1,0,0,0,1
267, Kamiq,1,1.0,18944,0,1,0,0,1
268, Fabia,4,1.2,8100,0,1,0,0,1
269, Fabia,4,1.2,7584,0,1,0,0,1
270, Citigo,2,1.0,7900,0,1,0,0,1
271, Kodiaq,2,1.4,20000,1,0,0,0,1
272, Fabia,2,1.0,11000,0,1,0,0,1
273, Octavia,1,1.6,19000,0,0,1,1,0
274, Superb,1,1.5,18045,1,0,0,0,1
275, Superb,1,1.5,16416,0,1,0,0,1
276, Karoq,1,2.0,25626,0,1,0,1,0
277, Octavia,1,2.0,18767,0,1,0,1,0
278, Superb,1,2.0,24143,1,0,0,1,0
279, Fabia,1,1.0,11883,0,1,0,0,1
281, Superb,1,1.5,26592,0,0,1,0,1
282, Kodiaq,1,1.5,22984,1,0,0,0,1
283, Fabia,1,1.0,10167,0,1,0,0,1
284, Kodiaq,1,2.0,30000,1,0,0,1,0
285, Octavia,1,2.0,24000,0,0,1,1,0
286, Yeti,7,2.0,6995,0,1,0,1,0
287, Rapid,4,1.6,8498,0,1,0,1,0
288, Octavia,2,2.0,15598,0,1,0,1,0
